패치,섹션,대상,컨텍스트,변경사항,변경수
26.14,아이템,불멸의 길,"불멸의 길은 최근 이름값을 톡톡히 해내고 있습니다. 해당 아이템을 사용하는 일부 중단 챔피언이 낮은 선택률에 비해 예상보다 높은 승률을 기록하고 있기 때문이죠. 이번 변경으로 해당 아이템의 위력은 여전히 강력하지만, 성능은 더 합리적인 수준으로 만들고자 합니다.","체력이 50% 이상일 때 피해량 증가 : 5% ⇒ 4% | 체력이 50% 아래일 때 체력 회복, 보호막, 체력 재생 효과 증가 : 15% ⇒ 12%",2
26.14,아이템,원형질 안전벨트,"원형질 안전벨트는 전반적으로 너무 뛰어난 성능을 보이고 있으며, 초반에 구매하는 챔피언에게 특히 강력한 힘을 실어주고 있습니다. 여전히 탱커 챔피언에게 매력적인 선택지가 될 수 있도록, 초반 첫 아이템으로 완성했을 때의 위력을 낮추고자 합니다.","아이템 가격 : 2,500골드 ⇒ 2,600골드 | 추가 체력 : 200~300 ⇒ 100~300 | 체력 회복량 : 200~400 ⇒ 100~400",3
26.14,아이템,마법공학 로켓 벨트,"마법공학 로켓 벨트가 주문력 기반 딜러형 탱커 챔피언이 아닌 기동력이 낮은 마법사 챔피언에게 인기가 많은 모습을 보니 돌풍이 유행하던 시절이 떠오릅니다. 해당 아이템의 능력치를 조정하여 다른 공격적인 아이템과 비교했을 때의 매력은 약간 줄이는 대신, 교전을 시작하기 위해 이 아이템에 의존하는 기존 핵심 챔피언들에게는 만족스러운 선택지로 남도록 했습니다. 또한 과거 점화석을 하위 아이템으로 사용해 조합식이 다소 불편했던 시절과 달리, 이번 조합식에는 루비 수정이 별도로 포함됩니다.",아이템 조합식 : 마법공학 교류 발전기 + 악마의 마법서 + 증폭의 고서 + 300골드 ⇒ 마법공학 교류 발전기 + 점화석 + 루비 수정 + 350골드 | 사용 효과 재사용 대기시간 : 40초 ⇒ 50초 | 주문력 : 70 ⇒ 60 | 체력 : 300 ⇒ 350,4
26.13,챔피언,아펠리오스,"올해 초 아펠리오스가 하향된 이후 우선 순위와 승률이 모두 떨어졌습니다. 이제 위력 조정 여유가 생긴 만큼, 이전 하향 중 일부를 되돌려 각 무기 고유의 강점을 더 돋보이게 만들고자 합니다.",기본 지속 효과 표식 피해량 : 15 (추가 공격력의 10%) ⇒ 15 (추가 공격력의 15%) | Q - 맹공 피해량 : 공격당 총공격력의 19/24.25/29.5/34.75/40% 피해 ⇒ 공격당 총공격력의 20/25.25/30.5/35.75/41% 피해 | Q - 황혼파 피해량 : 20~110 (레벨에 따라) (추가 공격력의 10~16%) ⇒ 20~110 (레벨에 따라) (추가 공격력의 15~21%) | Q - 파수탑 피해량 : 35~125 (레벨에 따라) (추가 공격력의 30~48%) ⇒ 35~125 (레벨에 따라) (추가 공격력의 34~52%),4
26.13,챔피언,바드,바드는 이번 시즌 내내 튼튼함을 바탕으로 공격로 지원 메타의 핵심 챔피언으로 활약했습니다. 주문력에 투자하지 않은 탱커 바드가 강력한 피해를 입히지 못하도록 피해량을 하향했습니다.,정령 하나당 피해량 : 35 (+종 5개당 10) (+주문력의 40%) ⇒ 30 (+종 5개당 6) (+주문력의 40%),1
26.13,챔피언,브랜드,"브랜드는 대부분의 플레이어에게 하단 공격로에서 압도적인 모습을 보여주고 있습니다. 이에 따라 초반 기본 지속 효과 - 불길의 폭발 피해량을 하향하되, 마나를 조정해 숙련된 플레이어와 서포터 포지션이 받을 타격을 일부 상쇄하고자 합니다.","기본 마나 재생 : 9 ⇒ 11 | 폭발 피해량 : 8~12% (1~17레벨) (+주문력 100당 2%) ⇒ 6~12% (1~18레벨, 18레벨 이후에도 성장) (+주문력 100당 2%) | 마나 소모량 : 70/75/80/85/90 ⇒ 90",3
26.13,챔피언,카시오페아,"카시오페아는 26.12 패치에서 주요 경쟁자들이 하향되기 전부터 이미 높은 프로 경기 등장 빈도를 기록했습니다. 보상이 확실한 공격로 단계와 날렵한 이동 속도 등 카시오페아의 고유 강점은 일부 유지되겠지만, 상대가 카시오페아의 발을 묶는 데 성공했을 때 마주하는 체력 바가 지금처럼 거대하지는 않을 것입니다!",레벨당 체력 증가량: 104 ⇒ 98,1
26.13,챔피언,드레이븐,"원거리 딜러 메타가 치명타, 적중 시 효과 및 스킬 위주 빌드를 중심으로 발전함에 따라 드레이븐은 뒤처지고 말았습니다. 드레이븐의 아이템 빌드 방향성을 틀기보다는, 높은 공격력 기반의 플레이 방식을 상향하고자 합니다.","재사용 대기시간 : 18/17/16/15/14초 ⇒ 16/15/14/13/12초 | 적 적중 시 피해량 감소 : -8% 곱연산, 최대 40% (11회 적중 시) ⇒ -5%, 최대 50% (14회 적중 시)",2
26.13,챔피언,카이사,카이사는 공격로 단계를 버텨내고 R - 사냥본능으로 크게 활약할 기회를 잡는 데 어려움을 겪었습니다. 이에 따라 초반 공격로 단계 대비책인 W - 공허추적자와 후반 적 후방 진입 수단의 위력을 상향했습니다.,재사용 대기시간 : 22/20/18/16/14초 ⇒ 20/18.5/17/15.5/14초 | 보호막 흡수량 : 70/90/110 (+공격력의 90/135/180%) (+주문력의 120%) ⇒ 100/150/200 (+공격력의 90/135/180%) (+주문력의 120%),2
26.13,챔피언,크산테,"크산테는 시즌 2에 도란의 투구가 새롭게 추가되며 큰 수혜를 입었습니다. 크산테의 초반 안정성을 소폭 하향하되, 성공적인 총공세에 대한 상은 그대로 유지하고자 합니다.",보호막 흡수량 : (80/120/160/200/240) (+추가 체력의 15%) ⇒ (70/112.5/155/197.5/240) (+추가 체력의 13.5%),1
26.13,챔피언,르블랑,"르블랑이 이미 훌륭하게 수행 중인 공격로 개입 또는 지원 능력을 강화하기보다는, 맞추기 힘든 스킬을 적중시켰을 때 보상을 더 높이고자 합니다.",RQ - 악의의 인장 / RE - 환영 사슬 최초 피해량 : 70/140/210 ⇒ 70/150/230 | 표식/속박 피해량 : 140/280/420 ⇒ 140/300/460 | RW - 왜곡 피해량 : 150/300/450 ⇒ 150/315/480,3
26.13,챔피언,올라프,한때 정글에서 붙박이로 활약하던 올라프는 이번 시즌 초 상향에도 불구하고 한동안 주류에서 밀려나 있었습니다. 올라프가 정글로 다시 돌아갈 수 있도록 약간의 위력을 더해주고자 합니다.,몬스터 대상 추가 물리 피해량 : 20/35/50/65/80 ⇒ 20/45/70/95/120,1
26.13,챔피언,뽀삐,"한동안 정글은 전사 챔피언들이 거의 독점하다시피 해왔습니다. 뽀삐가 이러한 메타의 최상위권 전사 정글러를 상대할 튼튼한 대응 선택지라고 판단했습니다. 이번 상향은 상단 및 서포터에 미치는 영향을 최소화하면서, 정글 캠프 처치 속도와 공격로 개입 기회를 개선하는 데 중점을 두었습니다.",몬스터 대상 최대 피해량 : 50/80/110/140/170 ⇒ 75/105/135/165/195,1
26.13,챔피언,키아나,"정글에서 잘 보이지 않는 또 다른 역할군은 암살자입니다. 최근 키아나가 정글에서 다소 약한 만큼, 상향하기에 적합하다고 판단했습니다. 중단 공격로 위력을 건드리지 않으면서 정글을 중심으로 상향하고자 합니다.",몬스터 대상 피해량 : 155% ⇒ 175%,1
26.13,챔피언,렉사이,"렉사이는 맞대결 능력과 기동력으로 랭크 상위권에서 지나치게 강력한 모습을 보여주었습니다. 이에 따라 렉사이 고유의 맵 이동 능력과 지속 전투 방식은 유지하되, 초중반에 뿜어내는 폭발적인 화력을 하향하고자 합니다.",물리 피해량 : 80/108/136/164/192 (추가 공격력의 64%) ⇒ 70/95/120/145/170 (추가 공격력의 60%) | 추가 고정 피해량 : 125% ⇒ 120%,2
26.13,챔피언,럼블,"럼블은 오랫동안 상단 공격로에서 먼저 선택하기 좋은 매우 안정적인 선택지로 활약했습니다. 럼블의 성장성은 그대로 유지하되, 초반 공격로 유지력과 기본 피해량을 다소 하향하고자 합니다.",피해량 : 60/85/110/135/160 (주문력의 100%) ⇒ 50/75/100/125/150 (주문력의 105%),1
26.13,챔피언,세나,"세나 플레이어 여러분이 훨씬 강력한 하단 공격로 미니언 사냥 방식을 채택함 따라, 세나의 미니언 사냥 능력과 스태틱의 단검 시너지를 하향하고, 동시에 영혼이 더 많은 상황에 맞춰 초당 피해량을 조정했습니다. 도란의 투구 하향까지 더해 세나의 포지션 간 위력 균형이 적절하게 맞춰질 것으로 기대하고 있습니다.",영혼 생성 확률 (세나 처치) : 10% ⇒ 5% | 영혼 생성 확률 (아군 처치) : 28% ⇒ 32% | 치명타 피해량 : -10% (180% / 무한의 대검 장착 시 27%) ⇒ -15% (170% / 무한의 대검 장착 시 25.5%) | 재사용 대기시간 반환 : 적중 시 ⇒ 기본 공격 시,4
26.13,챔피언,사이온,"사이온은 오랫동안 개인 랭크와 프로 경기 모두에서 굳건한 모습을 보여주었습니다. 이에 따라 사이온의 탱커 정체성은 훼손하지 않는 선에서, 안정적인 초반 공격로 단계 위력과 자원 관리 능력을 일부 하향하고자 합니다.",최소 피해량 : 40/60/80/100/120 ⇒ 30/45/60/75/90 | 마나 소모량 : 65/70/75/80/85 ⇒ 75/80/85/90/95,2
26.13,챔피언,벡스,벡스의 게임 내 영향력이 기대치에 미치지 못한다고 판단했습니다. 벡스가 슈퍼 플레이를 더 자주 보여줄 수 있게 돕고자 스킬 초기화가 매끄럽게 이어지도록 편의성을 개선했습니다.,재사용 대기시간 : 13초 ⇒ 12초 | 초기화 가능 시간 : 6초 ⇒ 8초,2
26.13,챔피언,자헨,"자헨은 폭넓은 실력대에서 점점 더 많이 사용되고 있습니다. 성장 고점은 유지하면서, 초반 피해 교환 기회를 더 적극적으로 엿보고 중반 소규모 교전에 적극 참여할 수 있도록 약간의 여유를 주고자 합니다.",재사용 대기시간 : 16/15/14/13/12초 ⇒ 14/13.5/13/12.5/12초,1
26.13,아이템,도란의 투구,26.11 패치의 도란의 투구 상향은 다소 과했습니다. 이를 되돌리되 기본 체력은 높게 유지해 해당 아이템으로 과도한 성능을 보여주는 챔피언들을 견제하고자 합니다.,방어력 및 마법 저항력 : 10 ⇒ 8 | 체력 : 140 ⇒ 150,2
26.13,아이템,제국의 명령,"제국의 명령 변경은 다소 아쉬운 성능을 보여주었으며, 아이템 조합식은 이 아이템을 주로 사용할 만한 챔피언, 특히 서포터에게 매우 어색했습니다. 아이템 조합식을 더 매끄럽게 다듬고 이에 맞춰 위력을 일부 조정했습니다.",아이템 조합식 : 방출의 마법봉 (850골드) + 밴들유리 거울 (900골드) + 650골드 ⇒ 증폭의 고서 (400골드) + 밴들유리 거울 (900골드) + 증폭의 고서 (400골드) + 700골드 | 주문력 : 65 ⇒ 60 | 고유 지속 효과 - 통제 : 이동 불가 스킬 가속 15 ⇒ 이동 불가 스킬 가속 20 | 고유 지속 효과 - 명령 : 취약 6% ⇒ 취약 7%,4
26.12,챔피언,아트록스,"아트록스는 현재 메타에서 좋은 선택지임을 보여주는 지표가 있음에도 불구하고 한동안 소외되고 있기에 약간의 상향이 필요하다고 판단했습니다. Q - 다르킨의 검 스킬의 검 끝 위력을 높여 핵심 스킬 활용에 대한 보상을 강화하고, 기동성이 낮은 탱커와 체력이 낮은 챔피언 모두에게 실질적인 위협을 주고자 합니다.",검 끝 추가 피해량 : 70 ⇒ 75,1
26.12,챔피언,그웬,"그웬은 한동안 모든 실력대의 메타에서 자취를 감췄습니다. 26.09 패치에서 황혼과 새벽의 소규모 업데이트로 그웬의 위력이 약화되었으므로, 게임 초반 위력을 일부 되돌리고자 합니다. 그웬은 여전히 후반을 바라보는 챔피언으로 남겠지만, 첫 아이템을 구매하는 구간이 약해지면서 초반이 너무 힘들어졌습니다. 이번 변경 사항을 통해 게임 전반에 걸쳐 가위로 싹둑싹둑 자르고 적의 공격을 깡충깡충 피하는 그웬 플레이어 여러분의 바람을 실현하고자 합니다.",가위질 1회당 기본 피해량 : 10/13.5/17/20.5/24 ⇒ 10/14/18/22/26 | 추가 공격 속도 : 20/35/50/65/80% ⇒ 30/42.5/55/67.5/80%,2
26.12,챔피언,흐웨이,"26.08 패치에서 적용된 흐웨이 스킬의 둔화 효과 중첩과 다른 둔화 효과와의 상호작용 관련 변경 사항이 예상보다 더 부정적인 영향을 주었습니다. 당시 해당 변경과 함께 보상안으로 다른 부분을 상향했지만, 몇 번의 패치 후 흐웨이의 상황이 더 나빠진 것이 분명해졌습니다. 따라서 Q - 주제: 참사와 E - 주제: 고통의 위력을 전반적으로 상향해 모든 스킬이 유의미하게 느껴지도록 조정하고자 합니다.","QQ - 파멸의 화염 피해량 : 50/80/110/140/170 (+주문력의 70%) (+대상 최대 체력의 3/4/5/6/7%) ⇒ 50/80/110/140/170 (+주문력의 80%) (+대상 최대 체력의 3/4/5/6/7%) | QW - 절단의 번개 피해량 : 60/85/110/135/160 (+주문력의 25%), 최대 120/201.875/302.5/421.875/560 (+주문력의 50/59.375/68.75/78.125/87.5%) ⇒ 60/85/110/135/160 (+주문력의 30%), 최대 120/201.875/302.5/421.875/560 (+주문력의 60/71.25/82.5/93.75/105%) | QE - 녹아내린 균열 둔화율 : 30% ⇒ 35% | 재사용 대기시간 : 13/12.5/12/11.5/11초 ⇒ 12/11.5/11/10.5/10초",4
26.12,챔피언,잭스,"모두가 사랑하는 달인, 잭스가 공격할 순간을 참을성 있게 기다리고 있습니다. 잭스는 전투가 길어질수록 강력해지고 높은 피해를 입히는 위협적인 챔피언으로 기획되었지만, 현재는 내구력이 강한 적을 상대하기 위한 미끼용 선택으로 전락했습니다. 이번 변경으로 해당 부분을 개선하면서도 챔피언이 과도하게 강력해지는 것을 방지하고자 합니다.",마나 소모량 : 65 ⇒ 50 | 대상 최대 체력 비례 피해량 : 최소 피해 3.5% / 최대 피해 7% ⇒ 최소 피해 4% / 최대 피해 8%,2
26.12,챔피언,리 신,"최근 리 신의 스킬 제약을 일부 없애는 변경 사항은 리 신 플레이어에게 좋은 소식이었지만, 현재 리 신은 명백히 너무 강력한 모습을 보입니다. 상대를 압도할 수 있는 잠재력이 커진 만큼, 순수 피해량을 하향하여 밸런스를 조정하고자 합니다.",공격력 증가량 : 3.7 ⇒ 3.4 | 피해량 : 65/95/125/155/185 (+추가 공격력의 95%) ⇒ 60/90/120/150/180 (+추가 공격력의 90%) | 피해량 : 65/95/125/155/185 (+추가 공격력의 95%) ⇒ 60/90/120/150/180 (+추가 공격력의 90%),3
26.12,챔피언,녹턴,"녹턴은 한동안, 특히 상위권 게임에서 꽤 강력한 모습을 보여주고 있습니다. 궁극기 재사용 대기시간이 비교적 짧아 독특한 플레이가 가능하다는 점은 긍정적으로 평가합니다. 하지만 불리한 싸움을 순식간에 유리하게 만들 강력한 수단을 갖춘 만큼 1대1 교전과 정글 몬스터 사냥의 위력이 하향됩니다.",피해량 : 65/110/155/200/245 ⇒ 65/105/145/185/225,1
26.12,챔피언,오리아나,"종종 리그 오브 레전드의 '완벽한 챔피언'이라고 불리는 오리아나는 최근 몇 년간 공격로 장악, 아군 보호, 팀 전투에서의 매우 안정적인 위력 발휘 등 여러 방면에서 활약하고 있습니다. 최근 패치에서 프로 선수들이 가장 우선으로 선택하는 챔피언인 만큼, 오리아나의 위력이 초반 공격로 장악에 너무 많이 치우쳐 있다고 판단했습니다. 이제 초반 공격로 압박보다는 특정 상황에 대응하거나 환상적인 충격파 활용을 보여주는 챔피언이 되기를 바랍니다.",기본 체력 : 585 ⇒ 565 | 중첩당 피해량 증가 : 20% ⇒ 15% | 피해량 : 250/400/550 (+주문력의 95%) ⇒ 225/350/475 (+주문력의 110%),3
26.12,챔피언,라이즈,"죽음불꽃 손길로 인해 라이즈의 초반 교전 능력이 더 강력해졌습니다. 성장형 스킬 연계 마법사 챔피언치고는 공격로 대치 단계가 너무 안정적이라고 판단했습니다. 오리아나처럼 초반의 위력을 약간 하향하여, 본래 의도대로 후반 게임에 위력을 집중시키고자 합니다.",기본 체력 : 645 ⇒ 620 | 기본 공격력 : 58 ⇒ 55,2
26.12,챔피언,사일러스,"사일러스는 시즌 2 시작 이후 성적이 가장 많이 떨어진 챔피언 중 하나입니다. 초반 공격로 단계에서는 여전히 강력한 모습을 보이지만, 위력이 너무 감소해 후반 성장 기대치가 치명적으로 낮아졌고, 결국 플레이 방식이 단조로워진다는 문제가 있었습니다. 따라서 이 부분을 보완하고자 합니다.","1차 피해량 : 40/60/80/100/120 (+주문력의 40%) ⇒ 40/65/90/115/140 (+주문력의 45%) | 체력 회복량 : 20/40/60/80/100 (+주문력의 20%) (+사일러스 추가 체력의 5%), 사일러스 잃은 체력에 비례해 최대 100% 증가 ⇒ 20/40/60/80/100 (+주문력의 30%) (+사일러스 추가 체력의 5%), 사일러스 잃은 체력에 비례해 최대 100% 증가",2
26.12,챔피언,신드라,"오리아나, 공 이리 줘! 최근 안정적으로 피해를 입히는 W - 의지의 힘과 R - 풀려난 힘이 하향됐습니다. 이에 따라 가장 변동성이 큰 주력 스킬인 Q - 어둠 구체를 통해 성장 잠재력을 발휘할 수 있도록 힘을 실어주고자 합니다. 재미와 실용성을 모두 잡은 이번 상향을 통해 모든 실력대의 플레이어 여러분이 신드라의 무한한 힘에 관심 가지기를 바랍니다.",기본 체력 : 563 ⇒ 583 | 피해량 : 80~220 (+주문력의 65%) ⇒ 90~230 (+주문력의 70%),2
26.12,챔피언,트리스타나,"원거리 딜러가 중단 공격로를 장악하던 메타가 등장한 지 2년이 흘렀습니다. 물론 그 시절로 돌아가는 것은 바람직하지 않다고 판단하지만, 일부 원거리 딜러가 중단 공격로에 등장하는 것은 게임에 색다른 재미를 더한다고 생각합니다. 트리스타나는 몇 시즌 전 Q - 속사의 마나 소모량이 증가한 이후로 모습을 보이지 않았기 때문에 좋은 후보로 여겨집니다. 이번 변경으로 일부 하향했던 부분을 되돌리고 전반적인 레벨 비례 능력치가 상향됩니다.",공격력 증가량 : 2.9⇒ 3.4 | 마나 소모량 : 30/35/40/45/50⇒ 15/20/25/30/35,2
26.12,챔피언,바루스,"바루스는 올 한 해 동안 최상위권 플레이어들 사이에서 원거리 딜러와 상단 공격로를 모두 아울러 꾸준히 최우선 선택지로 자리 잡았습니다. 상단 공격로의 경우, 실험적 마공학판의 변경으로 바루스의 위력이 어느 정도 완화될 것으로 보입니다. 하단 공격로의 경우, 게임 초반에 강한 압박을 가하는 물리 관통력 빌드의 위력을 더 낮추는 한편, 가장 일반적인 적중 시 효과 빌드에는 비교적 영향을 적게 주면서 후반 성장 기대치를 약간 높이고자 합니다.",챔피언이 아닌 유닛 처치 시 공격력 및 주문력 : 총공격 속도의 10% ⇒ 총공격 속도의 11% | 챔피언 처치 시 공격력 및 주문력 : 총공격 속도의 25% ⇒ 총공격 속도의 33% | 챔피언이 아닌 유닛 처치 시 공격 속도 : 공격 속도 +50% ⇒ 공격 속도 +30% | 피해량 : 53.33/100/146.67/193.33/240 (+추가 공격력의 100%)~80/150/220/290/360 (+추가 공격력의 150%) ⇒ 53.33/100/146.67/193.33/240 (+추가 공격력의 80%)~80/150/220/290/360 (+추가 공격력의 120%) | 적중 시 피해량 : 8/17/26/35/44 (+추가 공격력의 15%) (+주문력의 25%) ⇒ 4/13/22/31/40 (+추가 공격력의 15%) (+주문력의 25%),5
26.12,챔피언,신 짜오,주문력 기반 신 짜오가 중단 공격로에서 계속해서 너무 강력한 모습을 보입니다. 이전 패치의 조정에 이어 이번에는 공격로에서 신 짜오가 체력과 마나를 유지하는 능력이 직접적으로 하향됩니다.,체력 회복량 : 최대 체력의 3/4/5% (+주문력의 45/55/80%) ⇒ 최대 체력의 2/3.5/5% (+주문력의 40/50/70%) | 마나 소모량 : 60/55/50/45/40 ⇒ 60 | 마나 소모량 : 50 ⇒ 60,3
26.12,챔피언,유미,게임에서 유일하게 기본 지속 효과로 회복 및 보호막 증가 효과를 보유한 챔피언인 유미는 26.09 패치에서 월석 재생기의 적용 방식이 변경되며 가장 큰 타격을 입었습니다. 강화형 보조술사 아이템을 계속해서 효율적으로 사용할 수 있도록 유미의 주문력 계수가 상향됩니다.,체력 회복량 : 20~110 (+주문력의 25%) (1~18레벨) ⇒ 20~110 (+주문력의 30%) (1~18레벨) | 보호막 흡수량 : 65/90/115/140/165 (+주문력의 30%) ⇒ 65/90/115/140/165 (+주문력의 40%),2
26.11,챔피언,브랜드,"브랜드는 한동안 하단 공격로에서 선을 넘나드는 모습을 보여주었으며, 이번 패치에서는 그 선을 확실하게 넘고 말았습니다. 하단 공격로를 겨냥해 기본 방어력을 하향했습니다.",기본 방어력 : 27 ⇒ 24,1
26.11,챔피언,다이애나,"다이애나는 황혼과 여명 변경에 따른 이전 조정 이후, 정글에서 다소 아쉬운 모습을 보이고 있습니다. 이에 따라 다이애나가 예전의 영광을 되찾을 수 있도록 정글에서 달의 힘을 약간 더 실어주었습니다.",몬스터 대상 피해량 : 230% ⇒ 270% | 추가 체력 : 9% ⇒ 11%,2
26.11,챔피언,에코,"26.9 패치 황혼과 여명 개편의 여파가 가라앉은 지금, 에코의 위력이 해당 아이템 구매에 전적으로 의존하지 않게 된 만큼, 보상 차원의 상향이 필요하다고 판단했습니다.",적 1명당 재사용 대기시간 : 5초 ⇒ 4초,1
26.11,챔피언,하이머딩거,"지난 패치에서 원거리 미니언 적개심 유도가 삭제됨에 따라, 하이머딩거 장인 여러분이 포탑 사거리와 미니언 사거리의 상호작용에서 다소 불편함을 겪게 되었습니다. 원거리 미니언의 사거리가 하이머딩거의 포탑 사거리보다 긴 상황에서, 미니언을 포탑 사거리 안으로 끌어들일 방법이 없어졌기 때문입니다. 포탑이 반격조차 하지 못하고 미니언의 기본 공격을 고스란히 맞고 있는 모습을 지켜보는 것은 꽤 고통스러운 경험입니다. 추가로, 시야 및 포탑 작동 방식 관련 미세한 시간 차이로 인해 대상의 시야를 너무 빨리 잃을 경우, 가끔 Q - H-28G 진화형 포탑이 E - CH-2 전자폭풍 수류탄에 제대로 연계되지 못하는 문제를 확인했습니다. 이를 해결하고자 시야 지속시간을 약간 늘렸습니다.",포탑 공격 사거리 : 530 ⇒ 550 | 포탑 시야 범위 : 585 ⇒ 650 | 신규 포탑 사거리 : 이제 포탑 사거리 내에 다른 대상이 없다면 미니언을 상대로 사거리가 50 증가합니다. | 대상 위치 시야 : 1초 ⇒ 1.25초,4
